Date,Region,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Cost of Goods Sold (COGS),Average Inventory,Warehouse Capacity
14-01-2020,North,Accessories,Supplier A,Warehouse 1,Fulfilled,302,2124,1103.838324,True,9,False,37820.0524,2048.0,5037
15-11-2020,East,Furniture,Supplier D,Warehouse 2,Fulfilled,741,1972,13163.00766,True,11,False,54396.17369,1213.0,9216
16-04-2020,East,Furniture,Supplier C,Warehouse 2,Fulfilled,940,454,9872.294126,True,17,False,24217.45462,1160.5,7699
17-04-2020,South,Accessories,Supplier D,Warehouse 2,Canceled,589,1867,4547.589932,True,3,False,38919.08005,3364.5,9271
18-04-2020,North,Accessories,Supplier C,Warehouse 2,Fulfilled,964,4862,11994.04231,True,21,False,59204.50683,3063.0,5828
19-04-2020,South,Electronics,Supplier A,Warehouse 1,Canceled,338,1264,6220.991375,False,15,False,55736.88744,1104.5,8292
20-04-2020,West,Furniture,Supplier A,Warehouse 2,Pending,748,945,14023.27556,True,7,False,139260.8377,929.0,5073
21-04-2020,North,Accessories,Supplier C,Warehouse 1,Canceled,909,913,1556.256814,True,25,False,35640.52177,2204.0,9860
22-04-2020,East,Clothing,Supplier C,Warehouse 3,Fulfilled,781,3495,4933.463849,True,8,False,73883.09071,3481.0,8375
23-04-2020,East,Clothing,Supplier A,Warehouse 1,Fulfilled,488,3467,12041.4938,True,21,False,52012.68962,4067.5,8594
24-04-2020,West,Clothing,Supplier D,Warehouse 3,Fulfilled,125,4668,6126.847877,True,21,False,2726.657395,3947.5,7684
25-04-2020,East,Furniture,Supplier A,Warehouse 1,Fulfilled,899,3227,12221.18843,True,4,False,127779.9529,2414.5,9035
26-04-2020,North,Accessories,Supplier D,Warehouse 1,Fulfilled,324,1602,5705.511137,True,27,False,63107.38981,1005.5,8116
27-04-2020,West,Clothing,Supplier A,Warehouse 3,Fulfilled,551,409,8615.902821,True,9,False,57150.95856,598.0,6886
28-04-2020,West,Clothing,Supplier C,Warehouse 3,Fulfilled,489,787,11076.52401,True,8,False,66378.00252,1039.0,9727
