Date,Region,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Cost of Goods Sold (COGS),Average Inventory,Warehouse Capacity
14-01-2020,North,Accessories,Supplier A,Warehouse 1,fulfilled,302.0,2124.0,"$1,103.84",True,9.0,False,37820.0524,2048.0,5037.0
15-11-2020,East,furniture,Supplier D,Warehouse 2,Fulfilled,741.0,1972.0,"$13,163.01",True,11.0,False,54396.17369,1213.0,9216.0
16-04-2020,East,,Supplier C,Warehouse 2,fulfilled,,454.0,"$9,872.29",True,17.0,False,24217.45462,1160.5,7699.0
17-04-2020,Suth,Accessories,Supplier D,  Warehouse 2 ,Canceled,589.0,1867.0,"$4,547.59",True,3.0,False,38919.08005,3364.5,9271.0
04/18/2020,North,Accessories,Supplier C,  Warehouse 2 ,Fulfilled,964.0,4862.0,"$11,994.04",True,21.0,False,59204.50683,3063.0,5828.0
19-04-2020,South,  Electronics ,Supplier A,Warehouse 1,Canceled,338.0,1264.0,,False,15.0,False,55736.88744,1104.5,8292.0
20-04-2020,West,Furniture,Supplier A,Warehouse 2,Pending,748.0,945.0,"$14,023.28",True,7.0,False,139260.8377,929.0,5073.0
21-04-2020,North,  Accessories ,Supplier C,Warehouse 1,Canceled,909.0,913.0,"$1,556.26",True,25.0,False,35640.52177,2204.0,9860.0
22-04-2020,East,  Clothing ,Supplier C,Warehouse 3,Fulfilled,781.0,3495.0,"$4,933.46",True,8.0,False,73883.09071,3481.0,8375.0
23-04-2020,  East ,Clothing,Supplier A,Warehouse 1,Fulfilled,488.0,3467.0,"$12,041.49",True,21.0,False,52012.68962,4067.5,8594.0
24-04-2020,West,Clothing,Supplier D,  Warehouse 3 ,,125.0,4668.0,"$6,126.85",True,21.0,False,2726.657395,3947.5,7684.0
04/25/2020,East,Furniture,Supplier A,Warehouse 1,Fulfilled,899.0,3227.0,"$12,221.19",True,4.0,False,127779.9529,2414.5,9035.0
04/26/2020,Northh,Accessories,Supplier D,Warehouse 1,,324.0,1602.0,"$5,705.51",,27.0,False,63107.38981,1005.5,8116.0
27-04-2020,West,Clothing,Supplier A,Warehouse 3,fulfilled,551.0,409.0,"$8,615.90",,,False,,598.0,6886.0
04/28/2020,  West ,Clothing,Supplier C,Warehouse 3,Fulfilled,489.0,787.0,"$11,076.52",,8.0,False,66378.00252,1039.0,9727.0
29-04-2020,West,Electrnx,Supplier A,Warehouse 2,Pending,712.0,1291.0,,True,,True,24683.75549,1881.0,5119.0
30-04-2020,West,Clothing,  Supplier D ,  Warehouse 2 ,Fulfilled,775.0,2471.0,"$2,671.77",True,10.0,False,23900.74084,3462.5,8953.0
01-05-2020,West,Clothing,Supplier D,  Warehouse 2 ,,936.0,4454.0,"$8,057.02",True,,True,108960.3785,2754.0,7941.0
,West,Electronics,Supplier A,  Warehouse 2 ,Fulfilled,988.0,1054.0,"$8,990.64",True,7.0,False,130014.8053,,8128.0
05/03/2020,south,clothing,Supplier C,,Canceled,612.0,251.0,"$6,719.32",True,6.0,False,40211.04778,1969.0,9397.0
05/04/2020,East,Accessories,Supplier A,Warehouse 3,Fulfilled,754.0,3687.0,"$6,426.78",True,5.0,False,54971.19278,3672.0,8356.0
05-05-2020,East,electronics,Supplier D,Warehouse 2,Fulfilled,282.0,3657.0,"$6,851.32",True,21.0,False,46598.2109,3170.0,6195.0
06-05-2020,west,Accessories,Supplier C,Warehouse 3,Fulfilled,-99.0,2683.0,,,23.0,False,76184.13983,3577.5,9094.0
07-05-2020,East,Furniture,Supplier D,Warehouse 3,Fulfilled,477.0,4472.0,"$6,748.65",True,12.0,False,24996.34935,3671.0,6178.0
05/08/2020,East,Accessories,Supplier A,Warehouse 1,Pending,,2870.0,"$13,437.45",False,19.0,False,28876.71182,3891.0,8399.0
09-05-2020,  North ,Clothing,Supplier C,Warehouse 3,Pending,423.0,4912.0,"$3,248.55",True,13.0,False,79226.47623,4494.0,5993.0
10-05-2020,East,Accessories,Supplier A,Warehouse 2,Fulfilled,63.0,4076.0,"$11,003.60",True,5.0,,8603.620577,3084.5,6145.0
11-05-2020,East,Accessories,Supplier D,Warehouse 2,Fulfilled,799.0,2093.0,"$4,314.66",True,15.0,False,39045.0225,1258.5,5460.0
12-05-2020,East,Accessories,supplier b,Warehouse 3,Fulfilled,587.0,424.0,"$7,714.18",True,20.0,False,43435.24314,1866.5,9462.0
13-05-2020,West,accessories,Supplier C,Warehouse 1,Pending,-99.0,3309.0,"$1,812.20",True,3.0,False,39042.15652,3242.0,8444.0
05/14/2020,East,Clothing,Supplier D,Warehouse 2,Fulfilled,84.0,3175.0,"$10,612.99",True,18.0,False,13657.59734,3590.0,8508.0
05/15/2020,East,Electrnx,Supplier B,,fulfilled,196.0,4005.0,"$9,228.73",True,21.0,False,22907.49743,2698.5,5616.0
,,  Electronics ,  Supplier C ,  Warehouse 2 ,Pending,764.0,1392.0,"$3,787.65",True,25.0,False,107139.6553,,6653.0
17-05-2020,North,clothing,Supplier C,Warehouse 2,  Canceled ,488.0,4852.0,"$10,326.38",True,29.0,False,80063.67982,2819.5,5258.0
18-05-2020,South,Furniture,Supplier D,Warehouse 2,,810.0,787.0,"$6,402.61",True,16.0,False,155560.135,2025.5,8473.0
19-05-2020,North,Accessories,Supplier A,  Warehouse 2 ,Pending,160.0,3264.0,,True,12.0,False,7001.110343,,8555.0
20-05-2020,south,Accessories,Supplier D,Warehouse 2,Fulfilled,163.0,2479.0,"$9,340.49",False,5.0,False,17772.09256,1543.5,5993.0
05/21/2020,South,Furniture,Supplier D,Warehouse 2,  Canceled ,544.0,608.0,"$7,117.99",True,7.0,False,40525.0421,2171.0,8109.0
22-05-2020,North,Clothing,supplier d,Warehouse 3,Fulfilled,637.0,3734.0,"$1,504.92",True,10.0,False,73669.383,4001.5,7059.0
23-05-2020,West,Accessories,  Supplier B ,  Warehouse 3 ,Fulfilled,880.0,4269.0,"$14,244.02",True,7.0,,93875.84852,3315.0,8933.0
24-05-2020,west,Electronics,Supplier B,Warehouse 1,  Fulfilled ,224.0,2361.0,"$13,981.98",True,24.0,False,38461.18176,2944.5,6135.0
25-05-2020,west,Clothing,,Warehouse 3,Fulfilled,-99.0,3528.0,"$8,465.23",True,11.0,False,60470.18172,4024.5,6287.0
26-05-2020,North,Furniture,Supplier A,Warehouse 2,Fulfilled,862.0,4521.0,"$12,357.93",True,18.0,False,44424.39863,2861.0,6275.0
05/27/2020,,Clothing,supplier a,Warehouse 1,Fulfilled,115.0,1201.0,"$6,852.62",,19.0,False,7617.784585,2577.5,8045.0
28-05-2020,North,Furniture,  Supplier D ,Warehouse 1,Fulfilled,899.0,3954.0,"$11,277.77",True,21.0,True,136368.7976,3328.5,5726.0
29-05-2020,West,Clothing,Supplier D,,Fulfilled,416.0,2703.0,"$5,512.03",True,17.0,False,25875.5298,1610.0,9326.0
,South,Accessories,Supplier B,Warehouse 1,Fulfilled,899.0,517.0,"$1,531.11",True,29.0,False,122327.7816,1933.5,5179.0
,West,Furniture,Supplier A,warehouse 3,Pending,167.0,3350.0,"$4,644.70",False,,False,26062.89251,3929.5,8868.0
01-06-2020,  North ,Electronics,Supplier A,Warehouse 1,Fulfilled,197.0,4509.0,"$14,603.99",True,22.0,False,24967.37181,4374.5,8831.0
02-06-2020,North,Accessories,Supplier A,,Pending,586.0,4240.0,"$11,623.98",True,28.0,True,33931.89301,3948.5,5873.0
03-06-2020,North,,Supplier D,Warehouse 1,Fulfilled,-99.0,3657.0,"$11,802.50",True,21.0,False,70439.51289,2233.0,5467.0
04-06-2020,East,Accessories,Supplier A,Warehouse 2,Fulfilled,318.0,809.0,"$9,952.09",True,17.0,True,,513.5,5931.0
05-06-2020,south,Clothing,Supplier D,Warehouse 1,Fulfilled,478.0,218.0,"$8,105.26",False,29.0,False,47059.70534,,5090.0
06-06-2020,East,Furniture,Supplier A,Warehouse 1,Fulfilled,655.0,2122.0,"$4,932.68",True,6.0,False,22700.3245,3410.0,
06/07/2020,,Accessories,Supplier A,Warehouse 1,Fulfilled,536.0,4698.0,"$3,412.72",True,27.0,False,103533.1724,3420.0,8494.0
08-06-2020,West,Electronics,Supplier A,Warehouse 3,Fulfilled,481.0,2142.0,"$6,629.19",True,27.0,False,44693.74216,1872.0,9889.0
09-06-2020,East,Electronics,Supplier B,Warehouse 1,Fulfilled,841.0,1602.0,"$9,057.48",True,29.0,False,143001.2294,1009.5,6172.0
,West,Electronics,supplier a,Warehouse 3,Canceled,567.0,417.0,"$10,110.39",True,22.0,False,36611.98363,1445.5,5025.0
11-06-2020,North,Furniture,supplier b,warehouse 1,Pending,953.0,2474.0,"$8,191.15",,10.0,False,145928.6664,2319.0,5980.0
12-06-2020,,  Clothing ,Supplier B,Warehouse 2,,971.0,2164.0,"$10,255.98",True,16.0,False,149515.1934,3472.5,5762.0
13-06-2020,,Electronics,Supplier A,Warehouse 3,fulfilled,372.0,4781.0,"$1,327.87",True,22.0,False,73748.18724,3131.0,7201.0
14-06-2020,West,Accessories,Supplier D,Warehouse 3,Fulfilled,298.0,1481.0,"$9,278.95",True,15.0,False,59564.05699,2219.0,9362.0
15-06-2020,South,  Clothing ,  Supplier A ,Warehouse 2,Fulfilled,863.0,2957.0,,True,19.0,False,130185.014,3665.0,
16-06-2020,East,Furniture,Supplier A,  warehouse 2 ,Fulfilled,117.0,4373.0,"$3,332.70",True,12.0,False,12284.48648,2815.5,9641.0
17-06-2020,  east ,Accessories,  Supplier C ,,  Fulfilled ,530.0,1258.0,"$11,838.02",True,3.0,False,91308.72659,722.5,7226.0
06/18/2020,East,Electronics,Supplier D,Warehouse 3,Fulfilled,,187.0,"$13,544.21",True,9.0,False,106400.8806,2225.0,9750.0
19-06-2020,East,Electronics,Supplier B,Warehouse 3,Pending,517.0,4263.0,"$12,369.60",True,1.0,False,29422.42699,3872.5,9270.0
20-06-2020,,Clothing,Supplier D,Warehouse 2,,281.0,3482.0,"$4,246.69",False,7.0,True,15548.20658,3153.5,9908.0
21-06-2020,south,  Clothing ,Supplier D,Warehouse 3,Canceled,186.0,2825.0,"$7,383.46",True,1.0,False,31065.37835,,8797.0
22-06-2020,South,  Accessories ,supplier d,Warehouse 3,fulfilled,160.0,503.0,"$8,041.96",True,21.0,False,15654.48396,1976.5,8246.0
23-06-2020,South,Clothing,Supplier B,Warehouse 1,  Pending ,721.0,3450.0,,True,24.0,False,101751.2752,3390.0,5088.0
,South,Furniture,Supplier D,warehouse 2,Pending,204.0,3330.0,"$14,194.72",True,4.0,False,8340.158455,2301.5,8804.0
25-06-2020,  nan ,Furniture,Supplier B,Warehouse 2,Fulfilled,105.0,1273.0,"$8,485.01",True,2.0,False,10800.37368,2069.0,6647.0
06/26/2020,West,  Clothing ,Supplier B,Warehouse 2,Fulfilled,228.0,2865.0,"$6,972.14",True,20.0,False,21437.91291,2603.0,
27-06-2020,West,,Supplier A,Warehouse 2,fulfilled,141.0,2341.0,"$13,577.69",True,1.0,False,16950.79011,2962.0,7316.0
28-06-2020,South,Furniture,Supplier C,Warehouse 2,Fulfilled,490.0,3583.0,"$11,652.06",True,27.0,False,54851.85709,3611.0,8902.0
29-06-2020,East,accessories,  Supplier D ,Warehouse 2,Fulfilled,368.0,3639.0,$922.29,True,29.0,False,57934.37809,2383.0,6655.0
30-06-2020,East,Clothing,,  Warehouse 3 ,Canceled,493.0,1127.0,"$13,681.41",True,21.0,False,19145.55899,1716.0,5198.0
01-07-2020,east,Clothing,Supplier A,Warehouse 1,Fulfilled,,2305.0,"$6,159.72",True,8.0,False,,3104.0,
02-07-2020,South,Furniture,Supplier C,Warehouse 2,Fulfilled,707.0,3903.0,"$7,501.74",False,17.0,False,71317.38617,3219.5,7941.0
03-07-2020,South,Furniture,Supplier C,Warehouse 2,Fulfilled,845.0,2536.0,"$9,435.49",True,8.0,False,32790.34114,3662.5,8321.0
04-07-2020,North,,Supplier D,Warehouse 3,Fulfilled,895.0,4789.0,"$10,579.24",False,29.0,,156015.5124,,5059.0
05-07-2020,North,Electronics,Supplier A,Warehouse 3,Fulfilled,604.0,2694.0,"$3,069.62",True,20.0,False,65705.43288,2036.0,5434.0
06-07-2020,East,Clothing,Supplier C,Warehouse 1,Canceled,190.0,1378.0,"$5,665.62",True,4.0,False,28148.79219,1760.0,5565.0
07-07-2020,East,Electronics,supplier a,Warehouse 1,Fulfilled,239.0,2142.0,"$4,123.37",True,12.0,False,46901.02802,2341.0,9302.0
07/08/2020,  East ,Furniture,Supplier D,Warehouse 2,Fulfilled,579.0,2540.0,"$4,661.31",True,26.0,False,81933.35898,2032.5,6389.0
09-07-2020,East,Electronics,Supplier D,Warehouse 1,Canceled,74.0,,"$10,925.78",True,14.0,False,10497.63474,1707.0,9605.0
10-07-2020,West,Furniture,Supplier A,Warehouse 1,Pending,476.0,1889.0,"$5,425.54",True,9.0,,20858.08205,1745.5,5604.0
11-07-2020,North,Accessories,Supplier A,Warehouse 2,Fulfilled,183.0,1602.0,"$6,845.87",True,5.0,,6860.604624,2285.5,9046.0
12-07-2020,  north ,  Clothing ,Supplier B,Warehouse 3,Fulfilled,220.0,2969.0,"$7,776.40",True,8.0,False,26181.53414,2338.0,8825.0
07/13/2020,east,furniture,Supplier A,Warehouse 3,Fulfilled,840.0,1707.0,"$13,170.02",True,7.0,True,95831.82641,2141.0,7963.0
14-07-2020,South,Furniture,Supplier A,Warehouse 3,Fulfilled,938.0,2575.0,"$13,732.69",True,5.0,False,153675.5561,1831.5,5828.0
15-07-2020,South,Accessories,Supplier A,Warehouse 2,Fulfilled,469.0,1088.0,"$10,100.62",True,12.0,False,43290.7178,933.0,7259.0
16-07-2020,North,Clothing,Supplier B,Warehouse 3,Fulfilled,,778.0,"$7,794.13",False,27.0,False,26539.78359,1390.5,8071.0
07/17/2020,West,Electronics,Supplier B,  Warehouse 2 ,Canceled,,2003.0,"$13,920.95",True,13.0,False,142263.4704,2521.0,9379.0
18-07-2020,South,Electronics,Supplier A,Warehouse 2,Fulfilled,417.0,3039.0,"$5,955.33",True,4.0,False,38229.63991,3668.5,9899.0
19-07-2020,North,Electronics,Supplier A,,Pending,543.0,4298.0,"$1,370.12",True,15.0,False,66273.28811,3124.0,9304.0
07/20/2020,  nan ,Furniture,  Supplier A ,warehouse 2,  Pending ,715.0,1950.0,"$12,471.25",True,24.0,False,19932.66453,1560.0,9654.0
21-07-2020,South,Electronics,Supplier A,Warehouse 1,Fulfilled,749.0,,"$14,634.16",True,9.0,False,122385.261,1407.5,5652.0
22-07-2020,  nan ,Electronics,Supplier C,warehouse 3,Canceled,514.0,1645.0,,False,28.0,False,,2112.5,9765.0
23-07-2020,  East ,Accessories,supplier d,Warehouse 3,Fulfilled,394.0,2580.0,"$2,956.62",True,13.0,False,76081.40748,2726.0,8838.0
24-07-2020,South,  Furniture ,Supplier B,Warehouse 2,Fulfilled,61.0,2872.0,"$7,059.12",True,13.0,False,1877.423401,3182.0,9359.0
07/25/2020,South,Furnitr,Supplier C,Warehouse 3,Pending,355.0,3492.0,"$8,471.59",True,22.0,False,,2345.5,5230.0
26-07-2020,South,Electronics,Supplier B,Warehouse 1,Pending,418.0,1199.0,"$11,338.94",True,29.0,False,81285.66331,2070.5,5314.0
31-12-2021,South,Accessories,Supplier A,  Warehouse 3 ,  Canceled ,-99.0,2942.0,"$5,446.67",True,15.0,False,29801.19072,2395.5,7334.0
01-01-2022,South,Accessories,supplier c,Warehouse 1,Pending,671.0,,"$10,012.02",True,7.0,False,35673.65153,,5453.0
02-01-2022,East,Accessories,Supplier B,warehouse 1,Fulfilled,257.0,518.0,"$2,191.99",True,21.0,False,21007.89594,1331.0,8165.0
03-01-2022,West,Furniture,  Supplier B ,Warehouse 1,Fulfilled,,2144.0,"$12,371.83",True,26.0,False,60100.22265,1581.5,6730.0
04-01-2022,East,Accessories,Supplier A,Warehouse 1,fulfilled,315.0,1019.0,"$3,254.03",False,1.0,False,43448.26052,1533.0,7140.0
05-01-2022,West,  Clothing ,Supplier C,Warehouse 3,Fulfilled,50.0,2047.0,,True,,False,8349.584537,,5329.0
06-01-2022,  South ,electronics,Supplier B,Warehouse 1,  Canceled ,477.0,3436.0,"$6,348.78",False,26.0,False,18706.09854,2917.5,8781.0
07-01-2022,West,Electronics,Supplier B,Warehouse 1,Fulfilled,-99.0,2399.0,"$9,314.01",True,29.0,False,15137.03166,1905.0,6743.0
08-01-2022,West,Electronics,Supplier C,Warehouse 1,Canceled,,1411.0,"$9,107.90",True,27.0,False,20222.10381,2458.5,5659.0
09-01-2022,North,Furniture,Supplier B,Warehouse 1,Fulfilled,839.0,3506.0,"$13,280.45",,8.0,False,117430.329,4171.0,7261.0
10-01-2022,North,Accessories,Supplier A,Warehouse 3,Fulfilled,474.0,4836.0,"$4,606.68",True,13.0,False,71082.84395,2572.0,5851.0
,,Clothing,Supplier B,Warehouse 3,Fulfilled,275.0,308.0,$523.22,True,20.0,False,41251.30462,2045.0,7363.0
12-01-2022,West,accessories,Supplier A,Warehouse 2,Pending,663.0,3782.0,"$8,532.56",False,12.0,False,31865.2544,3834.0,5107.0
13-01-2022,North,accessories,Supplier A,Warehouse 3,Fulfilled,888.0,3886.0,"$4,635.57",True,16.0,False,119331.4756,2164.5,5585.0
14-01-2022,North,Furniture,  supplier c ,Warehouse 1,Pending,64.0,,$875.49,True,18.0,False,12210.9115,2718.0,7072.0
15-01-2022,  east ,Clothing,  Supplier B ,Warehouse 2,Fulfilled,376.0,4993.0,"$4,251.22",True,12.0,False,24751.95941,2810.5,9244.0
01/16/2022,North,,  Supplier B ,Warehouse 2,Fulfilled,382.0,628.0,"$4,771.75",True,1.0,False,25252.93486,753.5,6211.0
17-01-2022,South,Electronics,Supplier D,Warehouse 3,Fulfilled,383.0,879.0,"$7,513.85",True,23.0,False,32229.00476,850.5,
01/18/2022,North,Clothing,  Supplier C ,  Warehouse 3 ,Canceled,877.0,822.0,"$5,100.69",,6.0,False,68251.08497,1441.5,8675.0
19-01-2022,  South ,Accessories,Supplier C,warehouse 3,  nan ,58.0,2061.0,"$11,378.94",True,19.0,False,9267.608954,2010.5,
20-01-2022,North,Electronics,Supplier C,Warehouse 2,Fulfilled,545.0,,"$11,282.24",False,16.0,False,63813.1111,3084.5,7987.0
21-01-2022,North,Accessories,Supplier A,Warehouse 1,Fulfilled,244.0,4209.0,"$3,989.88",True,15.0,False,18097.82398,2998.0,7363.0
01/22/2022,East,Clothing,Supplier D,warehouse 2,Pending,382.0,1787.0,"$10,243.65",True,27.0,True,19053.77912,1096.5,7479.0
01/23/2022,South,Electronics,Supplier B,warehouse 3,,65.0,406.0,"$10,597.26",,7.0,False,2047.762455,1374.5,8898.0
24-01-2022,South,Electronics,Supplier C,Warehouse 1,Pending,904.0,2343.0,"$14,699.32",True,21.0,False,125130.874,2217.5,6187.0
25-01-2022,North,Electronics,Supplier D,Warehouse 2,Fulfilled,,2092.0,"$8,025.81",False,21.0,False,,2262.0,6782.0
26-01-2022,Northh,Accessories,Supplier A,Warehouse 1,Pending,606.0,2432.0,,True,27.0,False,115437.2154,2653.5,7648.0
27-01-2022,Northh,Electronics,Supplier C,Warehouse 2,Fulfilled,500.0,2875.0,"$8,604.82",True,14.0,False,57311.74503,1589.0,5854.0
28-01-2022,East,Accessories,Supplier B,Warehouse 2,Fulfilled,646.0,303.0,"$14,573.04",True,23.0,False,,2197.5,
29-01-2022,north,Accessories,supplier c,Warehouse 2,Fulfilled,740.0,4092.0,"$9,539.47",True,22.0,False,100686.5078,3825.5,9893.0
30-01-2022,East,Electronics,  Supplier B ,Warehouse 2,Fulfilled,949.0,3559.0,"$10,861.15",True,17.0,False,138418.8263,4091.5,6454.0
31-01-2022,South,Clothing,Supplier D,Warehouse 3,fulfilled,224.0,4624.0,"$1,389.49",True,8.0,True,,2914.0,5850.0
01-02-2022,North,Clothing,,Warehouse 3,Pending,389.0,,"$7,745.41",True,13.0,True,25455.23221,2057.0,8728.0
02-02-2022,East,Clothing,  supplier d ,Warehouse 2,Fulfilled,171.0,2910.0,"$13,085.52",True,23.0,False,24087.4782,1883.5,6339.0
03-02-2022,North,Accessories,Supplier A,Warehouse 1,Fulfilled,569.0,857.0,"$13,916.68",True,29.0,False,31472.81776,2737.5,5027.0
04-02-2022,North,Electronics,supplier d,  Warehouse 2 ,  Fulfilled ,953.0,4618.0,"$3,696.35",True,8.0,False,134277.5955,3135.0,9033.0
05-02-2022,West,Furniture,,Warehouse 2,Fulfilled,116.0,1652.0,"$5,228.54",True,16.0,False,17087.75414,3210.5,9458.0
06-02-2022,South,accessories,Supplier C,  Warehouse 3 ,  nan ,196.0,4769.0,"$2,174.84",False,1.0,False,17215.47908,2721.5,6630.0
02/07/2022,East,Clothing,Supplier A,Warehouse 3,  Pending ,398.0,674.0,"$3,872.76",True,24.0,False,38998.08321,515.5,8218.0
08-02-2022,west,Furniture,Supplier A,Warehouse 1,Fulfilled,638.0,357.0,"$12,946.36",True,3.0,False,71223.12694,1723.5,7533.0
02/09/2022,North,Accessories,Supplier D,Warehouse 2,Fulfilled,343.0,3090.0,,True,26.0,False,60128.56481,3784.0,9873.0
10-02-2022,North,Accessories,Supplier C,Warehouse 3,Fulfilled,672.0,4478.0,"$1,660.26",True,25.0,False,121999.5297,2809.0,5235.0
11-02-2022,east,Clothing,Supplier D,Warehouse 1,Fulfilled,445.0,1140.0,"$11,164.22",True,15.0,False,27504.48464,1808.0,5405.0
12-02-2022,east,Furniture,Supplier D,Warehouse 1,Fulfilled,567.0,2476.0,"$11,081.67",True,24.0,True,,1445.0,8444.0
02/13/2022,  North ,Furniture,supplier a,Warehouse 3,Fulfilled,84.0,414.0,"$13,662.39",False,24.0,False,11800.28742,2069.5,7826.0
14-02-2022,South,  Electronics ,Supplier D,Warehouse 3,Canceled,78.0,3725.0,"$10,304.28",True,,False,6624.898341,2263.5,8484.0
15-02-2022,North,Electronics,Supplier D,Warehouse 2,fulfilled,,802.0,"$14,416.86",True,13.0,True,30631.8127,2045.5,7417.0
16-02-2022,North,,Supplier D,Warehouse 3,Fulfilled,827.0,3289.0,"$7,339.63",True,23.0,False,88254.17281,1946.0,9645.0
17-02-2022,North,Furniture,supplier c,Warehouse 3,Fulfilled,-99.0,603.0,"$9,596.05",True,19.0,False,29558.42346,1512.5,5524.0
18-02-2022,East,Electronics,Supplier C,warehouse 1,Fulfilled,436.0,2422.0,"$11,189.68",True,17.0,False,47476.24462,,6719.0
19-02-2022,East,Clothing,  Supplier B ,Warehouse 1,Fulfilled,928.0,2656.0,"$8,287.71",True,24.0,False,92476.78376,1802.0,8138.0
02/20/2022,South,accessories,Supplier B,Warehouse 1,Fulfilled,172.0,948.0,"$3,536.56",True,15.0,False,8522.014048,1648.0,5571.0
21-02-2022,north,Clothing,Supplier D,warehouse 1,Pending,974.0,2348.0,"$11,334.92",,7.0,False,160850.2078,1410.0,9802.0
22-02-2022,East,electronics,Supplier A,Warehouse 1,  Fulfilled ,832.0,,,True,18.0,False,116670.2069,2312.0,8284.0
23-02-2022,South,Furniture,Supplier A,Warehouse 1,,939.0,4152.0,"$12,892.79",True,16.0,False,64415.74561,4094.5,9967.0
24-02-2022,North,  Electronics ,Supplier C,Warehouse 3,Canceled,856.0,4037.0,"$1,817.71",,1.0,False,154058.046,,6779.0
25-02-2022,East,electronics,Supplier A,Warehouse 3,Fulfilled,300.0,2831.0,$941.64,True,14.0,False,6117.941103,3503.5,5746.0
